Column1,Column2
0.34730000000000005,0.0859
0.34830000000000005,0.0848
0.34950000000000003,0.084
0.3506,0.08370000000000001
0.3502,0.084
0.3494,0.08420000000000001
0.3508,0.08330000000000001
0.3517,0.08190000000000001
0.35400000000000004,0.08180000000000001
0.35450000000000004,0.08220000000000001
0.3556,0.08220000000000001
0.3553,0.0821
0.3552,0.0825
0.3549,0.0834
0.355,0.0828
0.3555,0.0823
0.3563,0.08209999999999999
0.3559,0.0817
0.3566,0.0814
0.35569999999999996,0.0818
0.35539999999999994,0.0822
0.3560999999999999,0.0818
0.3557999999999999,0.082
0.3550999999999999,0.0806
0.3549999999999999,0.0805
0.35489999999999994,0.0801
0.35519999999999996,0.08020000000000001
0.35489999999999994,0.07930000000000001
0.35479999999999995,0.07880000000000001
0.35529999999999995,0.0796
0.3544999999999999,0.0785
0.35429999999999995,0.0784
0.3544999999999999,0.07819999999999999
0.3540999999999999,0.07859999999999999
0.3547999999999999,0.0783
0.3553999999999999,0.07769999999999999
0.3551999999999999,0.07699999999999999
0.3550999999999999,0.07669999999999999
0.3551999999999999,0.07579999999999999
0.3560999999999999,0.07479999999999999
0.3565999999999999,0.0749
0.3571999999999999,0.07569999999999999
0.3572999999999999,0.07569999999999999
0.3571999999999999,0.07569999999999999
0.35749999999999993,0.07579999999999999
0.35749999999999993,0.07519999999999999
0.3571999999999999,0.0749
0.3568999999999999,0.07379999999999999
0.3571999999999999,0.07379999999999999
0.35749999999999993,0.07319999999999999
0.3576999999999999,0.07259999999999998
0.3576999999999999,0.07219999999999999
0.3578999999999999,0.07169999999999999
0.3582999999999999,0.07099999999999998
0.3590999999999999,0.06989999999999998
0.3601999999999999,0.06969999999999997
0.3591999999999999,0.06909999999999997
0.3593999999999999,0.06839999999999996
0.3591999999999999,0.06769999999999995
0.3585999999999999,0.06749999999999995
0.35839999999999994,0.06739999999999995
0.3590999999999999,0.06669999999999994
0.35889999999999994,0.06609999999999994
0.35899999999999993,0.06629999999999994
